"iet_name";"iet_istypedby";"isc_name";"isc_version"
IfcReinforcingBar;IfcReinforcingBarType;IFC4X3_ADD1;"4.3.1.0"
IfcReinforcingMesh;IfcReinforcingMeshType;IFC4X3_ADD1;"4.3.1.0"
IfcRoof;IfcRoofType;IFC4X3_ADD1;"4.3.1.0"
IfcSanitaryTerminal;IfcSanitaryTerminalType;IFC4X3_ADD1;"4.3.1.0"
IfcSign;IfcSignType;IFC4X3_ADD1;"4.3.1.0"
IfcSignal;IfcSignalType;IFC4X3_ADD1;"4.3.1.0"
IfcShadingDevice;IfcShadingDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcSlab;IfcSlabType;IFC4X3_ADD1;"4.3.1.0"
IfcSolarDevice;IfcSolarDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcSpace;IfcSpaceType;IFC4X3_ADD1;"4.3.1.0"
IfcSpatialStructureElement;IfcSpatialStructureElementType;IFC4X3_ADD1;"4.3.1.0"
IfcSpatialElement;IfcSpatialElementType;IFC4X3_ADD1;"4.3.1.0"
IfcSpatialZone;IfcSpatialZoneType;IFC4X3_ADD1;"4.3.1.0"
IfcStackTerminal;IfcStackTerminalType;IFC4X3_ADD1;"4.3.1.0"
IfcDuctSilencer/RECTANGULAR;IfcDuctSilencerType/RECTANGULAR;IFC4X3_ADD1;"4.3.1.0"
IfcAirToAirHeatRecovery/THERMOSIPHONCOILTYPEHEATEXCHANGERS;IfcAirToAirHeatRecoveryType/THERMOSIPHONCOILTYPEHEATEXCHANGERS;IFC4X3_ADD1;"4.3.1.0"
IfcElementComponent;IfcElementComponentType;IFC4X1;"4.1.0.0"
IfcAirToAirHeatRecovery/THERMOSIPHONSEALEDTUBEHEATEXCHANGERS;IfcAirToAirHeatRecoveryType/THERMOSIPHONSEALEDTUBEHEATEXCHANGERS;IFC4X3_ADD1;"4.3.1.0"
IfcSubContractResource;IfcSubContractResourceType;IFC4X3_ADD1;"4.3.1.0"
IfcSwitchingDevice;IfcSwitchingDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcSystemFurnitureElement;IfcSystemFurnitureElementType;IFC4X3_ADD1;"4.3.1.0"
IfcTank;IfcTankType;IFC4X3_ADD1;"4.3.1.0"
IfcTendonConduit;IfcTendonConduitType;IFC4X3_ADD1;"4.3.1.0"
IfcTrackElement;IfcTrackElementType;IFC4X3_ADD1;"4.3.1.0"
IfcTransportationDevice;IfcTransportationDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcTransformer;IfcTransformerType;IFC4X3_ADD1;"4.3.1.0"
IfcTubeBundle;IfcTubeBundleType;IFC4X3_ADD1;"4.3.1.0"
IfcUnitaryControlElement;IfcUnitaryControlElementType;IFC4X3_ADD1;"4.3.1.0"
IfcUnitaryEquipment;IfcUnitaryEquipmentType;IFC4X3_ADD1;"4.3.1.0"
IfcValve;IfcValveType;IFC4X3_ADD1;"4.3.1.0"
IfcAlarm/BREAKGLASSBUTTON;IfcAlarmType/BREAKGLASSBUTTON;IFC4X3_ADD1;"4.3.1.0"
IfcVibrationIsolator;IfcVibrationIsolatorType;IFC4X3_ADD1;"4.3.1.0"
IfcWall;IfcWallType;IFC4X3_ADD1;"4.3.1.0"
IfcAlarm/MANUALPULLBOX;IfcAlarmType/MANUALPULLBOX;IFC4X3_ADD1;"4.3.1.0"
IfcElectricGenerator/NOTDEFINED;IfcElectricGeneratorType/NOTDEFINED;IFC4;"4.0.2.1"
IfcAlarm/RAILWAYCROCODILE;IfcAlarmType/RAILWAYCROCODILE;IFC4X3_ADD1;"4.3.1.0"
IfcAlarm/RAILWAYDETONATOR;IfcAlarmType/RAILWAYDETONATOR;IFC4X3_ADD1;"4.3.1.0"
IfcAlarm/SIREN;IfcAlarmType/SIREN;IFC4X3_ADD1;"4.3.1.0"
